username,repo_name,stars,repo_url
ovity,octotree,21700,https://github.com/ovity/octotree
gitpod-io,gitpod,6300,https://github.com/gitpod-io/gitpod
danger,danger,4700,https://github.com/danger/danger
reviewdog,reviewdog,4600,https://github.com/reviewdog/reviewdog
danger,danger-js,4100,https://github.com/danger/danger-js
joho,awesome-code-review,3200,https://github.com/joho/awesome-code-review
houndci,hound,1900,https://github.com/houndci/hound
ajinabraham,nodejsscan,1900,https://github.com/ajinabraham/nodejsscan
mbj,mutant,1800,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1800,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1500,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
bit4woo,python_sec,1000,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,1000,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,986,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,818,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,714,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,593,https://github.com/enlightn/enlightn
palantir,policy-bot,436,https://github.com/palantir/policy-bot
bsamseth,cpp-project,429,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,428,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,396,https://github.com/mookid/diffr
mgreiler,code-review-checklist,352,https://github.com/mgreiler/code-review-checklist
dpnishant,raptor,327,https://github.com/dpnishant/raptor
sjparkinson,static-review,326,https://github.com/sjparkinson/static-review
burrito-brothers,shiba,287,https://github.com/burrito-brothers/shiba
charignon,github-review,268,https://github.com/charignon/github-review
wandersoncferreira,code-review,229,https://github.com/wandersoncferreira/code-review
src-d,lookout,145,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,142,https://github.com/uwolfer/gerrit-rest-java-client
