username,repo_name,stars,repo_url
electron,electron,99500,https://github.com/electron/electron
FiloSottile,mkcert,33100,https://github.com/FiloSottile/mkcert
microsoft,playwright,31700,https://github.com/microsoft/playwright
ovity,octotree,21700,https://github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,21000,https://github.com/iamadamdev/bypass-paywalls-chrome
segmentio,nightmare,19100,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,17500,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13800,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13300,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12300,https://github.com/google/WebFundamentals
casesandberg,react-color,10300,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9300,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8400,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7100,https://github.com/chromedp/chromedp
MetaMask,metamask-extension,6700,https://github.com/MetaMask/metamask-extension
alvarcarto,url-to-pdf-api,6500,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6000,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5400,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5100,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4800,https://github.com/MontFerret/ferret
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
themerdev,themer,4500,https://github.com/themerdev/themer
gildas-lormeau,SingleFile,4500,https://github.com/gildas-lormeau/SingleFile
burtonator,polar-bookshelf,4400,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
moonD4rk,HackBrowserData,3900,https://github.com/moonD4rk/HackBrowserData
brookhong,Surfingkeys,3800,https://github.com/brookhong/Surfingkeys
melonjs,melonJS,3700,https://github.com/melonjs/melonJS
bilibili-helper,bilibili-helper-o,3700,https://github.com/bilibili-helper/bilibili-helper-o
